Absolute path,Relative path,Class name
C:\Users\nasty\ap_laba2\dataset3\00749.jpg,dataset3\00749.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04458.jpg,dataset3\04458.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04027.jpg,dataset3\04027.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\02583.jpg,dataset3\02583.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\05679.jpg,dataset3\05679.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09489.jpg,dataset3\09489.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\05312.jpg,dataset3\05312.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\01411.jpg,dataset3\01411.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\08549.jpg,dataset3\08549.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\08999.jpg,dataset3\08999.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\02576.jpg,dataset3\02576.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\06017.jpg,dataset3\06017.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\06940.jpg,dataset3\06940.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04291.jpg,dataset3\04291.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\07625.jpg,dataset3\07625.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\03273.jpg,dataset3\03273.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\01756.jpg,dataset3\01756.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\03016.jpg,dataset3\03016.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\07540.jpg,dataset3\07540.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09853.jpg,dataset3\09853.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\01428.jpg,dataset3\01428.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\02713.jpg,dataset3\02713.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\06746.jpg,dataset3\06746.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04868.jpg,dataset3\04868.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09983.jpg,dataset3\09983.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\07254.jpg,dataset3\07254.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04673.jpg,dataset3\04673.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\04022.jpg,dataset3\04022.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09477.jpg,dataset3\09477.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\03643.jpg,dataset3\03643.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\02054.jpg,dataset3\02054.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09936.jpg,dataset3\09936.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\00531.jpg,dataset3\00531.jpg,rose
C:\Users\nasty\ap_laba2\dataset3\09678.jpg,dataset3\09678.jpg,rose
